s,t
40.05,17.7
38.025,17.4
35.91,17.1
33.795,16.8
31.77,16.5
29.835,16.2
27.99,15.9
26.235,15.6
24.57,15.3
22.995,15
21.51,14.7
20.115,14.4
18.81,14.1
17.595,13.8
16.47,13.5
15.435,13.2
14.49,12.9
13.635,12.6
12.87,12.3
12.195,12
11.61,11.7
11.115,11.4
10.71,11.1
10.395,10.8
10.17,10.5
10.035,10.2
9.99,9.9
9.99,9.6
9.99,9.3
9.99,9
9.99,8.7
9.99,8.4
9.99,8.1
9.99,7.8
9.99,7.5
9.99,7.2
9.99,6.9
9.99,6.6
9.945,6.3
9.855,6
9.72,5.7
9.495,5.4
9.18,5.1
8.775,4.8
8.28,4.5
7.695,4.2
7.02,3.9
6.255,3.6
5.4,3.3
4.5,3
3.645,2.7
2.88,2.4
2.205,2.1
1.62,1.8
1.125,1.5
0.72,1.2
0.405,0.9
0.18,0.6
0.045,0.3
0,0
