s,t
40.29,17.8
39.745,17.7
39.19,17.6
38.625,17.5
38.05,17.4
37.465,17.3
36.87,17.2
36.265,17.1
35.65,17
35.025,16.9
34.39,16.8
33.745,16.7
33.09,16.6
32.425,16.5
31.76,16.4
31.105,16.3
30.46,16.2
29.825,16.1
29.2,16
28.585,15.9
27.98,15.8
27.385,15.7
26.8,15.6
26.225,15.5
25.66,15.4
25.105,15.3
24.56,15.2
24.025,15.1
23.5,15
22.985,14.9
22.48,14.8
21.985,14.7
21.5,14.6
21.025,14.5
20.56,14.4
20.105,14.3
19.66,14.2
19.225,14.1
18.8,14
18.385,13.9
17.98,13.8
17.585,13.7
17.2,13.6
16.825,13.5
16.46,13.4
16.105,13.3
15.76,13.2
15.425,13.1
15.1,13
14.785,12.9
14.48,12.8
14.185,12.7
13.9,12.6
13.625,12.5
13.36,12.4
13.105,12.3
12.86,12.2
12.625,12.1
12.4,12
12.185,11.9
11.98,11.8
11.785,11.7
11.6,11.6
11.425,11.5
11.26,11.4
11.105,11.3
10.96,11.2
10.825,11.1
10.7,11
10.585,10.9
10.48,10.8
10.385,10.7
10.3,10.6
10.225,10.5
10.16,10.4
10.105,10.3
10.06,10.2
10.025,10.1
10,10
9.985,9.9
9.98,9.8
9.98,9.7
9.98,9.6
9.98,9.5
9.98,9.4
9.98,9.3
9.98,9.2
9.98,9.1
9.98,9
9.98,8.9
9.98,8.8
9.98,8.7
9.98,8.6
9.98,8.5
9.98,8.4
9.98,8.3
9.98,8.2
9.98,8.1
9.98,8
9.98,7.9
9.98,7.8
9.98,7.7
9.98,7.6
9.98,7.5
9.98,7.4
9.98,7.3
9.98,7.2
9.975,7.1
9.97,7
9.97,6.9
9.965,6.8
9.96,6.7
9.955,6.6
9.945,6.5
9.935,6.4
9.925,6.3
9.915,6.2
9.9,6.1
9.875,6
9.84,5.9
9.795,5.8
9.74,5.7
9.675,5.6
9.6,5.5
9.515,5.4
9.42,5.3
9.315,5.2
9.2,5.1
9.075,5
8.94,4.9
8.795,4.8
8.64,4.7
8.475,4.6
8.3,4.5
8.115,4.4
7.92,4.3
7.715,4.2
7.5,4.1
7.275,4
7.04,3.9
6.795,3.8
6.54,3.7
6.275,3.6
6,3.5
5.715,3.4
5.42,3.3
5.115,3.2
4.805,3.1
4.5,3
4.205,2.9
3.92,2.8
3.645,2.7
3.38,2.6
3.125,2.5
2.88,2.4
2.645,2.3
2.42,2.2
2.205,2.1
2,2
1.805,1.9
1.62,1.8
1.445,1.7
1.28,1.6
1.125,1.5
0.98,1.4
0.845,1.3
0.72,1.2
0.605,1.1
0.5,1
0.405,0.9
0.32,0.8
0.245,0.7
0.18,0.6
0.125,0.5
0.08,0.4
0.045,0.3
0.02,0.2
0.005,0.1
0,0
